suite_album,piece,origin,type,symbolic_url,recording_url,start_time,end_time,Comments
debussy_childrens_corner,l113-01_childrens_doctor,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=J2ECNLziz64&list=PLOasZ6tQGgUPAhpMwGnLXcr-wvxHZ7ERi&index=1,,,
debussy_childrens_corner,l113-02_childrens_jimbos,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=rEFYa2eLK30&list=PLOasZ6tQGgUPAhpMwGnLXcr-wvxHZ7ERi&index=2,,,
debussy_childrens_corner,l113-03_childrens_serenade,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=X1JrrbAeJzI&list=PLOasZ6tQGgUPAhpMwGnLXcr-wvxHZ7ERi&index=3,,,
debussy_childrens_corner,l113-04_childrens_snow,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=NAQVniJtwms&list=PLOasZ6tQGgUPAhpMwGnLXcr-wvxHZ7ERi&index=4,,,
debussy_childrens_corner,l113-05_childrens_little,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=F1SWz_ERfUQ&list=PLOasZ6tQGgUPAhpMwGnLXcr-wvxHZ7ERi&index=5,,,
debussy_childrens_corner,l113-06_childrens_golliwoggs,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=T9b5-X5WfbY&list=PLOasZ6tQGgUPAhpMwGnLXcr-wvxHZ7ERi&index=6,,,
debussy_deux_arabesques,l066-01_arabesques_premiere,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=DHzpoYpm3k8,,,
debussy_deux_arabesques,l066-02_arabesques_deuxieme,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=LkHQFBdC9i0,,,
debussy_estampes,l100-01_estampes_pagode,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=d8MaaPqYyjg,,,
debussy_estampes,l100-02_estampes_soiree,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=n0tmdq0qBCU,,,
debussy_estampes,l100-03_estampes_jardins,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=w_vdn7tl-nU,,,
debussy_etudes,l136-01_etudes_cinq,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=0_Ds7sI_50w,,,
debussy_etudes,l136-02_etudes_tierces,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=6eaARb9Ho6o,,,
debussy_etudes,l136-03_etudes_quartes,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=4bVsaqDAN_M,,,
debussy_etudes,l136-04_etudes_sixtes,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=ZRTuWHzfzOE,,,
debussy_etudes,l136-05_etudes_octaves,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=2J_vNwVPFAc,,,
debussy_etudes,l136-06_etudes_huit,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=jg9y3VLnXf8,,,
debussy_etudes,l136-07_etudes_degres,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=jf0RLdyUgoA,,,
debussy_etudes,l136-08_etudes_agrements,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=FflBrud2yh8,,,
debussy_etudes,l136-09_etudes_notes,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=tIV_cJWWRfw,,,
debussy_etudes,l136-10_etudes_sonorites,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=JDxSVpQSMSA,,,
debussy_etudes,l136-11_etudes_arpeges,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=KvrFws7A8Ms,,,
debussy_etudes,l136-12_etudes_accords,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=UeChibkCVXE,,,
debussy_images,l087-01_images_lent,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=wlpcwwX-VXc,,,
debussy_images,l087-02_images_souvenir,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=iHYKxi4g5Fs,,,
debussy_images,l087-03_images_quelques,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=2FqIZ1SJCf0,,,
debussy_images,l110-01_images_reflets,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=YWpU-kXLXko,,,
debussy_images,l110-02_images_hommage,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=o8JYCHcng0c,,,
debussy_images,l110-03_images_mouvement,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=D0ikyYr9gto,,,
debussy_images,l111-01_images_cloches,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=noxGlZUMryE,,,
debussy_images,l111-02_images_lune,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=P37L2zPLzdM,,,
debussy_images,l111-03_images_poissons,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=Vb2vZJqAhxg,,,
debussy_other_piano_pieces,l000_etude,Debussy,Piano,https://github.com/DCMLab/debussy_piano,,,,
debussy_other_piano_pieces,l000_soirs,Debussy,Piano,https://github.com/DCMLab/debussy_piano,,,,
debussy_other_piano_pieces,l009_danse,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=NTz526cro2I,,,
debussy_other_piano_pieces,l067_mazurka,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=FaN0cZZqxmk,,,
debussy_other_piano_pieces,l068_reverie,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=VKGRssiqKV0,,,
debussy_other_piano_pieces,l069_tarentelle,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=EHg70Wnrp74,,,
debussy_other_piano_pieces,l070_ballade,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=W0OYVR79tUU,,,
debussy_other_piano_pieces,l071_valse,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=Ny1uqhRWfP8,,,
debussy_other_piano_pieces,l082_nocturne,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=BrzNuy_o6mc,,,
debussy_other_piano_pieces,l099_cahier,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=VdZLNMoe0IU,,,
debussy_other_piano_pieces,l105_masques,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=p_GgDysgu30,,,
debussy_other_piano_pieces,l106_isle,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=WY172Mnmo2w,,,
debussy_other_piano_pieces,l108_morceau,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=i7WcWsllN8I,,,
debussy_other_piano_pieces,l114_petit,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=WMQL8t_rMBE,,,
debussy_other_piano_pieces,l115_hommage,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=53Uo4M4pplQ,,,
debussy_other_piano_pieces,l121_plus,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=U6AcYSrzTiQ,,,
debussy_other_piano_pieces,l132_berceuse,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=VUfRi3qQepk,,,
debussy_other_piano_pieces,l133_page,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=K6xZBQD1T0Q,,,
debussy_other_piano_pieces,l138_elegie,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=2wqN0YKuMQw,,,
debussy_pour_le_piano,l095-01_pour_prelude,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=P8XLQylhCC0,,,
debussy_pour_le_piano,l095-02_pour_sarabande,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=rHw1jN_Gjr8,,,
debussy_pour_le_piano,l095-03_pour_toccata,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=hKUqI6r3N20,,,
debussy_preludes,l117-01_preludes_danseuses,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=CWWfsX1eePk,,,
debussy_preludes,l117-02_preludes_voiles,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=tigizC8MYdA,,,
debussy_preludes,l117-03_preludes_vent,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=r9tauhrYhwI,,,
debussy_preludes,l117-04_preludes_sons,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=QG8H5YPB4gM,,,
debussy_preludes,l117-05_preludes_collines,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=br5faxZKFX8,,,
debussy_preludes,l117-06_preludes_pas,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=3-r-hweAf1Y,,,
debussy_preludes,l117-07_preludes_ce,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=Z2QDaOCrMYc,,,
debussy_preludes,l117-08_preludes_fille,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=R0e1bJ0gVV0,,,
debussy_preludes,l117-09_preludes_serenade,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=7hYS010KwKA,,,
debussy_preludes,l117-10_preludes_cathedrale,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=MWU25jwYeOQ,,,
debussy_preludes,l117-11_preludes_danse,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=IrAcpmCyuBc,,,
debussy_preludes,l117-12_preludes_minstrels,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=K40eRMaS_zo,,,
debussy_preludes,l123-01_preludes_brouillards,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=siujtp1y9_Y,,,
debussy_preludes,l123-02_preludes_feuilles,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=YNZOkVAn0Ic,,,
debussy_preludes,l123-03_preludes_puerta,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=q0yEzy4d7tI,,,
debussy_preludes,l123-04_preludes_fees,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=EXbNIWLRiVY,,,
debussy_preludes,l123-05_preludes_bruyeres,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=y-XMNlATzic,,,
debussy_preludes,l123-06_preludes_general,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=zqqCovFU0wg,,,
debussy_preludes,l123-07_preludes_terrasse,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=zVtPeQ_kaPU,,,
debussy_preludes,l123-08_preludes_ondine,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=zjIj5YyXkBQ,,,
debussy_preludes,l123-09_preludes_hommage,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=cj49oRAbRIc,,,
debussy_preludes,l123-10_preludes_canope,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=_vmS9Q2Nvgw,,,
debussy_preludes,l123-11_preludes_tierces,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=LGnp6m84dNU,,,
debussy_preludes,l123-12_preludes_feux,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=IpzE8gyjduY,,,
debussy_suite_bergamasque,l075-01_suite_prelude,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=5rkXYm-JEQQ,,,
debussy_suite_bergamasque,l075-02_suite_menuet,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=y4yOq-v_ySw,,,
debussy_suite_bergamasque,l075-03_suite_clair,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=U3u4pQ4WKOk,,,
debussy_suite_bergamasque,l075-04_suite_passepied,Debussy,Piano,https://github.com/DCMLab/debussy_piano,https://www.youtube.com/watch?v=O0GuQ1CNFa8,,,
debussy_la_mer,l109-01_mer_midi,Debussy,Orchestral,https://www.kunstderfuge.com/-/midi.asp?file=debussy/la_mer_1_(c)galimberti.mid,https://www.youtube.com/watch?v=xhHwEpEavFU,,,
debussy_la_mer,l109-02_mer_vagues,Debussy,Orchestral,https://www.kunstderfuge.com/-/midi.asp?file=debussy/la_mer_2_(c)galimberti.mid,https://www.youtube.com/watch?v=12RHF2ycn2s,,,
debussy_la_mer,l109-03_mer_dialogue,Debussy,Orchestral,https://www.kunstderfuge.com/-/midi.asp?file=debussy/la_mer_3_(c)galimberti.mid,https://www.youtube.com/watch?v=9muh5y_VMIU,,,
debussy_nocturnes,l098-01_nocturnes_nuages,Debussy,Orchestral,https://www.kunstderfuge.com/-/midi.asp?file=debussy/nocturnes_1_(c)siu.mid,https://www.youtube.com/watch?v=nlLbAUX43PM,,,
debussy_nocturnes,l098-01_nocturnes_fetes,Debussy,Orchestral,https://www.kunstderfuge.com/-/midi.asp?file=debussy/nocturnes_2_(c)siu.mid,https://www.youtube.com/watch?v=y1zS8DnOu9o,,,
debussy_nocturnes,l098-01_nocturnes_sirenes,Debussy,Orchestral,https://www.kunstderfuge.com/-/midi.asp?file=debussy/nocturnes_3_(c)ames.mid,https://www.youtube.com/watch?v=U9-JXMKN3oU,,,
,lancaran_slendro_9,Gamelan,Orchestral,,https://www.youtube.com/watch?v=hUJz18dWRjs,,,
,ladrang_slamet _slendro_pathet_manyura,Gamelan,Orchestral,,https://www.youtube.com/watch?v=LSJEi_O1ZEc,,,
"Javanese Court Gamelan From The Pura Paku Alaman, Jogyakarta",Ketawang Puspawarna,Gamelan,Orchestral,,https://www.youtube.com/watch?v=hREZX8r94Do,00:00:00,00:04:44,
"Javanese Court Gamelan From The Pura Paku Alaman, Jogyakarta",Gending Tejanata / Ladrang Sembawa / Ladrang Playon,Gamelan,Orchestral,,https://www.youtube.com/watch?v=hREZX8r94Do,00:04:44,00:23:17,
"Javanese Court Gamelan From The Pura Paku Alaman, Jogyakarta",Gending Mandulpati / Ladrang Agun-Agun,Gamelan,Orchestral,,https://www.youtube.com/watch?v=hREZX8r94Do,00:23:17,00:43:03,
"Javanese Court Gamelan From The Pura Paku Alaman, Jogyakarta",Bubaran Hudan Mas,Gamelan,Orchestral,,https://www.youtube.com/watch?v=hREZX8r94Do,00:43:03,00:45:13,
,Keluarga Karawitan Studio RRI Surakarta Pimp. R. Hg. Hardjosamojo - Kebogiro Pl Barang,Gamelan,Orchestral,,https://www.youtube.com/watch?v=XnVQS7JAauE&list=PLZRxwKIQR9ADD2sKa7zlZf0aWW1OavJ-Y&index=1,,,
,Tukinem - Ladrang Srikaloka Sl Mnyr,Gamelan,Orchestral,,https://www.youtube.com/watch?v=MJ6hlA7uD58&list=PLZRxwKIQR9ADD2sKa7zlZf0aWW1OavJ-Y&index=4,,,